mysql> select * from log;

+-----+---------------------+---------+----------------------------------+-------+
| id  | time                | cell_id | comment                          | event |
|  85 | 2019-01-10 11:44:28 |       3 | 25: 8FA4ED                       |     8 |
|  86 | 2019-01-10 11:44:34 |       3 | 26: 5B3637                       |     7 |
|  87 | 2019-01-10 11:46:05 |       3 | 29: 11E10B                       |     7 |
|  88 | 2019-01-10 11:47:00 |       3 | 29: 11E10B                       |     8 |
|  89 | 2019-01-10 11:48:29 |       3 | 31: FD5F7F                       |     7 |
|  90 | 2019-01-10 11:48:29 |       3 | 31: FD5F7F                       |     3 |
|  91 | 2019-01-10 11:48:32 |       3 | 31: FD5F7F                       |     8 |
|  92 | 2019-01-10 11:48:38 |       3 | 32: 7FAA21                       |     7 |
|  93 | 2019-01-10 11:48:38 |       3 | 32: 7FAA21                       |     5 |
|  94 | 2019-01-10 11:48:41 |       3 | 32: 7FAA21                       |     8 |
|  95 | 2019-01-10 11:48:46 |       3 | 33: 4BF05E                       |     7 |
|  96 | 2019-01-10 11:48:50 |       3 | 33: 4BF05E                       |     6 |
|  97 | 2019-01-10 11:48:53 |       3 | 33: 4BF05E                       |     8 |
|  98 | 2019-01-10 11:48:58 |       3 | 34: B8C2BA                       |     7 |
|  99 | 2019-01-10 11:49:05 |       3 | 34: B8C2BA                       |     5 |
| 100 | 2019-01-10 11:49:08 |       3 | 34: B8C2BA                       |     8 |
| 101 | 2019-01-10 11:49:13 |       3 | 35: CEFE6F                       |     7 |
| 102 | 2019-01-10 11:49:14 |       3 | 35: CEFE6F                       |     3 |
| 103 | 2019-01-10 11:49:17 |       3 | 35: CEFE6F                       |     8 |
| 104 | 2019-01-10 11:49:22 |       3 | 36: 277BDB                       |     7 |
| 105 | 2019-01-10 11:49:26 |       3 | 36: 277BDB                       |     1 |
| 106 | 2019-01-10 11:49:29 |       3 | 36: 277BDB                       |     8 |
| 107 | 2019-01-10 11:49:34 |       3 | 37: 1FA6B9                       |     7 |
| 108 | 2019-01-10 11:49:34 |       3 | 37: 1FA6B9                       |     5 |
| 109 | 2019-01-10 11:49:37 |       3 | 37: 1FA6B9                       |     8 |
| 110 | 2019-01-10 11:49:43 |       3 | 38: A29265                       |     7 |
| 111 | 2019-01-10 11:49:52 |       3 | 38: A29265                       |     0 |
| 112 | 2019-01-10 11:49:55 |       3 | 38: A29265                       |     8 |
| 113 | 2019-01-10 11:50:01 |       3 | 39: 398E0F                       |     7 |
| 114 | 2019-01-10 11:50:04 |       3 | 39: 398E0F                       |     1 |
